"Author, Year",Outcome Name,Outcome Measure(s),Outcome Arms Compared,Treatment Definition,Outcome,Value,Effect Size,95% CI,p-value,"[Effect size (95% CI), p-value]"
"Acierno, 2017",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Depression,BDI-II,Per-protocol: A vs B,NA,6 to <12 Months After Treatment,"Estimated effect size -0.3 (90% CI -4.1 to 3.6), NR",Estimated effect size -0.3 ,90% CI -4.1 to 3.6,"stimated effect size -0.3 (90% CI -4.1 to 3.6), NR","Estimated effect size -0.3 (90% CI -4.1 to 3.6), NR"
"Acierno, 2017",Depression,BDI-II,Per-protocol: A vs B,NA,<6 Months After Treatment,"Estimated effect size -2.0 (90% CI -5.7 to 1.6), NR",Estimated effect size -2.0 ,90% CI -5.7 to 1.6,"stimated effect size -2.0 (90% CI -5.7 to 1.6), NR","Estimated effect size -2.0 (90% CI -5.7 to 1.6), NR"
"Acierno, 2017",Depression,BDI-II,Per-protocol: A vs B,NA,End of Treatment,"Estimated effect size -2.4 (90% CI -6.3 to 1.5), NR",Estimated effect size -2.4 ,90% CI -6.3 to 1.5,"stimated effect size -2.4 (90% CI -6.3 to 1.5), NR","Estimated effect size -2.4 (90% CI -6.3 to 1.5), NR"
"Acierno, 2017",Depression,BDI-II,Per-protocol: A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Acierno, 2017",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Depression,HAM-D,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Depression,HAM-D,A vs B,NA,<6 Months After Treatment,"Treatment x Time interaction: NR (NR), p<0.005",Treatment x Time interaction: NR ,NR,p<0.005,"Treatment x Time interaction: NR (NR), p<0.005"
"Adenauer, 2011",Depression,HAM-D,A vs B,NA,End of Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Depression,HAM-D,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Adenauer, 2011",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Depression,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Depression,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Depression,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Depression,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Sleep,PSQI,A vs B,NA,End of Treatment,"NR (NR), p=0.002",NR ,NR,p=0.002,"NR (NR), p=0.002"
"Ahmadi, 2015",Sleep,PSQI,A vs B vs C,NA,End of Treatment,"NR (NR), p<0.001",NR ,NR,p<0.001,"NR (NR), p<0.001"
"Ahmadi, 2015",Sleep,PSQI,A vs C,NA,End of Treatment,"NR (NR), p<0.001",NR ,NR,p<0.001,"NR (NR), p<0.001"
"Ahmadi, 2015",Sleep,PSQI,B vs C,NA,End of Treatment,"NR (NR), p<0.001",NR ,NR,p<0.001,"NR (NR), p<0.001"
"Ahmadi, 2015",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadi, 2015",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Depression,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Depression,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Depression,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Depression,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Ahmadizadeh, 2018",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Anxiety,BAI,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Anxiety,BAI,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Anxiety,BAI,A vs B,NA,End of Treatment,"Group x Time interaction 11.21 (SD 0.301), p<0.01",Group x Time interaction 11.21 ,SD 0.301,p<0.01,"Group x Time interaction 11.21 (SD 0.301), p<0.01"
"Akbarian, 2015",Anxiety,BAI,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Depression,BDI,A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Depression,BDI,A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Depression,BDI,A vs B,NA,End of Treatment,"Group x Time interaction 6.05 (SD 0.189), p<0.05",Group x Time interaction 6.05 ,SD 0.189,p<0.05,"Group x Time interaction 6.05 (SD 0.189), p<0.05"
"Akbarian, 2015",Depression,BDI,A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Akbarian, 2015",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Depression,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Depression,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Depression,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Depression,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Aldahadha, 2012",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Anger,SCL-90 - Hostility,Completer: A vs B,Cohen's d,<6 Months After Treatment,"Cohen's d 0.61 (NR), p=0.045",0.61,NR,p=0.045," 0.61 (NR), p=0.045"
"Arntz, 2007",Anger,SCL-90 - Hostility,Completer: A vs B,Cohen's d,End of Treatment,"Cohen's d 0.10 (NR), p=0.73",0.1,NR,p=0.73," 0.10 (NR), p=0.73"
"Arntz, 2007",Anger,SCL-90 - Hostility,ITT: A vs B,Cohen's d,<6 Months After Treatment,"Cohen's d 0.58 (NR), p=0.0175",0.58,NR,p=0.0175," 0.58 (NR), p=0.0175"
"Arntz, 2007",Anger,SCL-90 - Hostility,ITT: A vs B,Cohen's d,End of Treatment,"Cohen's d 0.18 (NR), p=0.47",0.18,NR,p=0.47," 0.18 (NR), p=0.47"
"Arntz, 2007",Anxiety,Fear Questionnaire - Main Phobia Scale,Completer: A vs B,NA,End of Treatment,NR,NR,NR,NR,NR
"Arntz, 2007",Anxiety,Fear Questionnaire - Main Phobia Scale,Completer: A vs B,Treatment x Time interaction: eta-squared,<6 Months After Treatment,"Treatment x Time interaction: eta-squared 0.001 (NR), p=0.90",0.001,NR,p=0.90," 0.001 (NR), p=0.90"
"Arntz, 2007",Anxiety,Fear Questionnaire - Main Phobia Scale,ITT: A vs B,NA,End of Treatment,NR,NR,NR,NR,NR
"Arntz, 2007",Anxiety,Fear Questionnaire - Main Phobia Scale,ITT: A vs B,Treatment x Time interaction: eta-squared,<6 Months After Treatment,"Treatment x Time interaction: eta-squared 0.009 (NR), p=0.63",0.009,NR,p=0.63," 0.009 (NR), p=0.63"
"Arntz, 2007",Depression,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Depression,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Depression,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Depression,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Functioning,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Functioning,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Functioning,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Functioning,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Sleep,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Substance Use,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Substance Use,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Substance Use,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Arntz, 2007",Substance Use,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Anger,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Anger,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Anger,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Anger,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Anxiety,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Anxiety,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Anxiety,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Anxiety,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Depression,CES-D (Japanese version),A vs B,Hedges' g,End of Treatment,"Hedges' g 0.72 (NR), p<0.05",0.72,NR,p<0.05," 0.72 (NR), p<0.05"
"Asukai, 2010",Depression,CES-D (Japanese version),A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Depression,CES-D (Japanese version),A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Depression,CES-D (Japanese version),A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Functioning,GHQ-28 (Japanese version),A vs B,Hedges' g,End of Treatment,"Hedges' g 0.70 (NR), p<0.05",0.7,NR,p<0.05," 0.70 (NR), p<0.05"
"Asukai, 2010",Functioning,GHQ-28 (Japanese version),A vs B,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Functioning,GHQ-28 (Japanese version),A vs B,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Functioning,GHQ-28 (Japanese version),A vs B,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Quality of Life,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Quality of Life,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Quality of Life,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Quality of Life,NA,NA,NA,³12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Sleep,NA,NA,NA,6 to <12 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Sleep,NA,NA,NA,<6 Months After Treatment,NA,NA,NA,NA,NA
"Asukai, 2010",Sleep,NA,NA,NA,End of Treatment,NA,NA,NA,NA,NA
